date,title,publisher
2021-01-10 08:00:00+00:00,Amazon Will Suspend Hosting For Pro-Trump Social Network Parler - BuzzFeed News,"{'href': 'https://www.buzzfeednews.com', 'title': 'BuzzFeed News'}"
2021-01-11 08:00:00+00:00,"Amazon suspends Parler, after Google and Apple also take action - The Washington Post","{'href': 'https://www.washingtonpost.com', 'title': 'The Washington Post'}"
2021-01-09 08:00:00+00:00,"Amazon drops Parler from its web hosting service, citing violent posts - CNBC","{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2021-01-13 08:00:00+00:00,Amazon Web Services’ trust and safety unit suspended Parler for ... - The Washington Post,"{'href': 'https://www.washingtonpost.com', 'title': 'The Washington Post'}"
2021-01-13 08:00:00+00:00,These are the violent threats that made Amazon drop Parler - The Verge,"{'href': 'https://www.theverge.com', 'title': 'The Verge'}"
2021-01-13 08:00:00+00:00,Amazon Says Parler Systematically Unwilling To Remove Violent ... - NPR,"{'href': 'https://www.npr.org', 'title': 'NPR'}"
2021-01-04 08:00:00+00:00,"Amazon, Berkshire and JPMorgan Will End Joint Health Care ... - The New York Times","{'href': 'https://www.nytimes.com', 'title': 'The New York Times'}"
2021-01-05 08:00:00+00:00,"Amazon buys Boeing jets from Delta, WestJet as aircraft prices drop - CNBC","{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2021-01-06 08:00:00+00:00,"Amazon pledges $2 billion to affordable housing, including $185 million for apartments in Bellevue - The Seattle Times","{'href': 'https://www.seattletimes.com', 'title': 'The Seattle Times'}"
2021-01-08 08:00:00+00:00,Tesla's Elon Musk Overtakes Amazon's Jeff Bezos as World's ... - The Wall Street Journal,"{'href': 'https://www.wsj.com', 'title': 'The Wall Street Journal'}"
2021-01-14 08:00:00+00:00,Amazon Hit with E-book Price Fixing Suit - Publishers Weekly,"{'href': 'https://www.publishersweekly.com', 'title': 'Publishers Weekly'}"
2021-01-05 08:00:00+00:00,Data from August Breach of Amazon Partner Juspay Dumped Online - Threatpost,"{'href': 'https://threatpost.com', 'title': 'Threatpost'}"
2021-01-08 08:00:00+00:00,Amazon Pantry is being discontinued as Amazon consolidates its ... - The Verge,"{'href': 'https://www.theverge.com', 'title': 'The Verge'}"
2021-01-13 08:00:00+00:00,Amazon pushes into education with new academy in India - CNBC,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2021-01-14 08:00:00+00:00,Lord of the Rings: Amazon Series Plot Details Revealed - IGN,"{'href': 'https://www.ign.com', 'title': 'IGN'}"
2021-01-14 08:00:00+00:00,Amazon faces legal challenge over Prime cancellation policy - BBC,"{'href': 'https://www.bbc.com', 'title': 'BBC'}"
2021-01-07 08:00:00+00:00,Why Is Amazon Buying Converted 767 Freighters Instead Of Leasing? - Forbes,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}"
2021-01-14 08:00:00+00:00,Parler urges U.S. judge to order Amazon to restore its platform - Reuters,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
2021-01-12 08:00:00+00:00,National Museum of African American Music Receives $1 Million Donation From Amazon - Variety,"{'href': 'https://variety.com', 'title': 'Variety'}"
2021-01-11 08:00:00+00:00,Amazon jungle lab - Reuters,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
2021-01-08 08:00:00+00:00,Amazon to invest $2 billion to build affordable housing in these three cities - CNN,"{'href': 'https://www.cnn.com', 'title': 'CNN'}"
2021-01-11 08:00:00+00:00,"Amazon plans to add 5 sites, create 2,000 jobs in Metro Detroit - Detroit News","{'href': 'https://www.detroitnews.com', 'title': 'Detroit News'}"
2021-01-06 08:00:00+00:00,Amazon's at-home COVID test now available online with 24-72 hours turnaround time - KGO-TV,"{'href': 'https://abc7news.com', 'title': 'KGO-TV'}"
2021-01-10 08:00:00+00:00,"Amazon, Walmart using AI to decide on economic sense to process a return - Fox Business","{'href': 'https://www.foxbusiness.com', 'title': 'Fox Business'}"
2021-01-11 08:00:00+00:00,Two Amazon Fresh grocery stores planned for Seattle area - Puget ... - The Business Journals,"{'href': 'https://www.bizjournals.com', 'title': 'The Business Journals'}"
2021-01-13 08:00:00+00:00,‘The Pack’ Canceled At Amazon After One Season - Deadline,"{'href': 'https://deadline.com', 'title': 'Deadline'}"
2021-01-11 08:00:00+00:00,Amazon Third-Party Sellers Are Being Bought Up Rapidly. But There Are Risks. - Forbes,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}"
2021-01-12 08:00:00+00:00,Two new Amazon Fresh grocery stores are coming to the Seattle area - The Seattle Times,"{'href': 'https://www.seattletimes.com', 'title': 'The Seattle Times'}"
2021-01-12 08:00:00+00:00,Watch the First Trailer for Amazon's Trippy Simulated Reality Movie ... - tor.com,"{'href': 'https://www.tor.com', 'title': 'tor.com'}"
2021-01-20 07:57:33+00:00,"Why Amazon, Berkshire Hathaway, and JPMorgan's Haven failed - Quartz","{'href': 'https://qz.com', 'title': 'Quartz'}"
2021-01-12 08:00:00+00:00,How Jeff Bezos Built Amazon Into What It Is Today - Yahoo Finance,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
2021-01-12 08:00:00+00:00,Amazon Circling Chris Pratt Sci-Fi Film ‘The Tomorrow War’ in $200 Million Megadeal (EXCLUSIVE) - Variety,"{'href': 'https://variety.com', 'title': 'Variety'}"
2021-01-05 08:00:00+00:00,Getting rid of an old Amazon Echo? Do this first - CNET,"{'href': 'https://www.cnet.com', 'title': 'CNET'}"
2021-01-07 08:00:00+00:00,"Why the Amazon, JPMorgan, Berkshire Venture Collapsed: 'Health ... - The Wall Street Journal","{'href': 'https://www.wsj.com', 'title': 'The Wall Street Journal'}"
2021-01-01 08:00:00+00:00,Amazon Prime Video New Releases: January 2021 - Den of Geek,"{'href': 'https://www.denofgeek.com', 'title': 'Den of Geek'}"
2021-01-10 08:00:00+00:00,"Amazon delivers a killing blow to the pro-Trump social network, Parler - Mashable","{'href': 'https://mashable.com', 'title': 'Mashable'}"
2021-01-12 08:00:00+00:00,Amazon makes plans to build new facility in Jackson County - Tallahassee Democrat,"{'href': 'https://www.tallahassee.com', 'title': 'Tallahassee Democrat'}"
2021-01-09 08:00:00+00:00,Amazon makes its first aircraft purchase for 11 Boeing 767 freighters - Business Insider,"{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}"
2021-01-07 08:00:00+00:00,Your Lenovo laptop will soon double as an Amazon Echo Show - TechHive,"{'href': 'https://www.techhive.com', 'title': 'TechHive'}"
2021-01-13 08:00:00+00:00,Amazon takes on Netflix in India with cheaper mobile-only Prime ... - Reuters,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
