date,title,publisher
2022-01-11 08:00:00+00:00,Amazon workers in Alabama will vote again on whether to unionize next month - CNBC,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2022-01-05 08:00:00+00:00,"Amazon and Stellantis partner to deploy smarter cars, cleaner vans - Reuters","{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
2022-01-05 08:00:00+00:00,Amazon’s tech is headed to millions of Stellantis vehicles in 2024 - TechCrunch,"{'href': 'https://techcrunch.com', 'title': 'TechCrunch'}"
2022-01-05 08:00:00+00:00,Amazon to use thousands of electric Ram delivery vans - Detroit Free Press,"{'href': 'https://www.freep.com', 'title': 'Detroit Free Press'}"
2022-01-14 08:00:00+00:00,"Trains in downtown Los Angeles ransacked by thieves: 'Amazon packages, UPS boxes, unused Covid tests' - Fox News","{'href': 'https://www.foxnews.com', 'title': 'Fox News'}"
2022-01-04 08:00:00+00:00,Almost 600 Amazon packages found dumped near Oklahoma City - CNN,"{'href': 'https://www.cnn.com', 'title': 'CNN'}"
2022-01-06 08:00:00+00:00,"‘Fallout’ Series at Amazon Finds Its Showrunners, Jonathan Nolan to Direct - Variety","{'href': 'https://variety.com', 'title': 'Variety'}"
2022-01-05 08:00:00+00:00,Amazon is putting an Alexa on the Orion spacecraft Lockheed Martin ... - The Washington Post,"{'href': 'https://www.washingtonpost.com', 'title': 'The Washington Post'}"
2022-01-05 08:00:00+00:00,"Amazon Says It Has Sold More Than 150 Million Fire TV Devices, Announces Ford, BMW and Stellantis Pacts for In-Car Streaming - Variety","{'href': 'https://variety.com', 'title': 'Variety'}"
2022-01-13 08:00:00+00:00,Tarnished Gold: Illegal Amazon gold seeps into supply chains - Los Angeles Times,"{'href': 'https://www.latimes.com', 'title': 'Los Angeles Times'}"
2022-01-10 08:00:00+00:00,"Tarnished Gold: Aircraft, fuel key to illegal Amazon mining - The Associated Press","{'href': 'https://apnews.com', 'title': 'The Associated Press'}"
2022-01-05 08:00:00+00:00,BMW's 31-Inch In-Car Theatre Screen Has Built-In Amazon Fire TV - Car and Driver,"{'href': 'https://www.caranddriver.com', 'title': 'Car and Driver'}"
2022-01-10 08:00:00+00:00,Police: Men disguised as Amazon workers attempted to invade ... - News 12 Bronx,"{'href': 'https://bronx.news12.com', 'title': 'News 12 Bronx'}"
2022-01-04 08:00:00+00:00,"Amazon Prime Free Games For January -- Star Wars Jedi: Fallen Order, Two Point Hospital, And More - GameSpot","{'href': 'https://www.gamespot.com', 'title': 'GameSpot'}"
2022-01-07 08:00:00+00:00,Three Amazon Marketplace Sellers Plead Guilty to Price Fixing ... - Department of Justice,"{'href': 'https://www.justice.gov', 'title': 'Department of Justice'}"
2022-01-10 08:00:00+00:00,Amazon files new legal challenges in dispute with Future Group ... - Reuters India,"{'href': 'https://www.reuters.com', 'title': 'Reuters India'}"
2022-01-11 08:00:00+00:00,"Will Amazon Hit $4,000 in 2022? - The Motley Fool","{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}"
