date,title,publisher
2019-01-09 08:00:00+00:00,How the Bezos divorce could impact Amazon shareholders - CNBC,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2019-01-09 08:00:00+00:00,What happens to Amazon now that its largest shareholder may have to split his fortune? - NBC News,"{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
2019-01-09 08:00:00+00:00,Amazon CEO Jeff Bezos and MacKenzie Bezos are getting a divorce - Business Insider,"{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}"
2019-01-07 08:00:00+00:00,Amazon is the most valuable public company in the world after passing Microsoft - CNBC,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2019-01-07 08:00:00+00:00,Amazon becomes most valuable publicly-traded company (Update) - Phys.org,"{'href': 'https://phys.org', 'title': 'Phys.org'}"
2019-01-08 08:00:00+00:00,Amazon becomes world's most valuable public company - BBC,"{'href': 'https://www.bbc.co.uk', 'title': 'BBC'}"
2019-01-10 08:00:00+00:00,Amazon shareholders deserve to know what happens to their money now: Varney - Fox Business,"{'href': 'https://www.foxbusiness.com', 'title': 'Fox Business'}"
2019-01-04 08:00:00+00:00,Exclusive: Amazon says 100 million Alexa devices have been sold - The Verge,"{'href': 'https://www.theverge.com', 'title': 'The Verge'}"
2019-01-03 08:00:00+00:00,Why Amazon Stock Lost 11% Last Month - The Motley Fool,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}"
2019-01-10 08:00:00+00:00,Amazon Is Reportedly Building a Netflix-Like Service for Video Games - Business Insider,"{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}"
2019-01-11 08:00:00+00:00,MacKenzie Bezos and the Myth of the Lone Genius Founder - WIRED,"{'href': 'https://www.wired.com', 'title': 'WIRED'}"
2019-01-07 08:00:00+00:00,Why Amazon Stock Gained 28.4% in 2018 - The Motley Fool,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}"
2019-01-11 08:00:00+00:00,Amazon unveils ad-supported IMDb video streaming service - Engadget,"{'href': 'https://www.engadget.com', 'title': 'Engadget'}"
2019-01-11 08:00:00+00:00,Exclusive: Amazon-owned Whole Foods scraps smaller 365 store expansion - Yahoo Finance,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
2019-01-14 08:00:00+00:00,Will 2019 Be Amazon's Dividend Debut? - The Motley Fool,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}"
2019-01-08 08:00:00+00:00,"Microsoft, Kroger team up to fight Amazon with high-tech grocery stores - Ars Technica","{'href': 'https://arstechnica.com', 'title': 'Ars Technica'}"
2019-01-08 08:00:00+00:00,Amazon is now the most valuable company on the planet - CNN,"{'href': 'https://www.cnn.com', 'title': 'CNN'}"
2019-01-09 08:00:00+00:00,Amazon to invest in French firm's technology for self-driving forklifts - Reuters,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
2019-01-06 08:00:00+00:00,"Seattle City Council members heading to New York City to share Amazon ‘lessons, mistakes’ - The Seattle Times","{'href': 'https://www.seattletimes.com', 'title': 'The Seattle Times'}"
2019-01-10 08:00:00+00:00,Amazon Echo Dot (3rd gen) review: better all round - The Guardian,"{'href': 'https://www.theguardian.com', 'title': 'The Guardian'}"
2019-01-01 08:00:00+00:00,Alexa Amazon smart home: What you really need to make it all work - USA TODAY,"{'href': 'https://www.usatoday.com', 'title': 'USA TODAY'}"
2019-01-08 08:00:00+00:00,Complaints prompt Amazon to remove products that are offensive to Muslims - CNN,"{'href': 'https://www.cnn.com', 'title': 'CNN'}"
2019-01-03 08:00:00+00:00,Amazon workers strike in Spain ahead of Three Kings gift-giving - Reuters,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
2019-01-07 08:00:00+00:00,Amazon Key for Garage is here because opening your front door is ... - The Verge,"{'href': 'https://www.theverge.com', 'title': 'The Verge'}"
2019-01-11 08:00:00+00:00,Germany outlaws Amazon's one-click Dash buttons - Engadget,"{'href': 'https://www.engadget.com', 'title': 'Engadget'}"
