,index,y_fitted
0,2022-01-03,290.9351501464844
1,2022-01-04,289.2378234863281
2,2022-01-05,288.3712158203125
3,2022-01-06,287.5425109863281
4,2022-01-07,286.4798583984375
5,2022-01-10,285.00238037109375
6,2022-01-11,283.6920471191406
7,2022-01-12,282.59161376953125
8,2022-01-13,281.5119934082031
9,2022-01-14,280.3619689941406
10,2022-01-18,279.1462097167969
11,2022-01-19,277.9651184082031
12,2022-01-20,276.8348388671875
13,2022-01-21,275.7152404785156
14,2022-01-24,274.583251953125
15,2022-01-25,273.44378662109375
16,2022-01-26,272.31591796875
17,2022-01-27,271.2034912109375
18,2022-01-28,270.0984191894531
19,2022-01-31,268.99530029296875
20,2022-02-01,267.89544677734375
21,2022-02-02,266.8025817871094
22,2022-02-03,265.7175598144531
23,2022-02-04,264.6387634277344
24,2022-02-07,263.56500244140625
25,2022-02-08,262.49652099609375
26,2022-02-09,261.4339294433594
27,2022-02-10,260.3774719238281
28,2022-02-11,259.3267822265625
29,2022-02-14,258.2815856933594
30,2022-02-15,257.2419128417969
31,2022-02-16,256.2078552246094
32,2022-02-17,255.1793670654297
33,2022-02-18,254.15638732910156
34,2022-02-22,253.1388397216797
35,2022-02-23,252.12667846679688
36,2022-02-24,251.11993408203125
37,2022-02-25,250.1185302734375
38,2022-02-28,249.12240600585938
39,2022-03-01,248.13156127929688
40,2022-03-02,247.14596557617188
41,2022-03-03,246.16555786132812
42,2022-03-04,245.1902313232422
43,2022-03-07,244.2200927734375
44,2022-03-08,243.25498962402344
45,2022-03-09,242.29495239257812
46,2022-03-10,241.3398895263672
47,2022-03-11,240.3898162841797
48,2022-03-14,239.44467163085938
49,2022-03-15,238.5044403076172
50,2022-03-16,237.56903076171875
51,2022-03-17,236.6384735107422
52,2022-03-18,235.71267700195312
53,2022-03-21,234.7916717529297
54,2022-03-22,233.87538146972656
55,2022-03-23,232.96376037597656
56,2022-03-24,232.05677795410156
57,2022-03-25,231.1544647216797
58,2022-03-28,230.25674438476562
59,2022-03-29,229.3634796142578
60,2022-03-30,228.4747314453125
61,2022-03-31,227.5905303955078
62,2022-04-01,226.71072387695312
63,2022-04-04,225.8353729248047
64,2022-04-05,224.96438598632812
65,2022-04-06,224.09768676757812
66,2022-04-07,223.2353515625
67,2022-04-08,222.3773193359375
68,2022-04-11,221.52352905273438
69,2022-04-12,220.67393493652344
70,2022-04-13,219.8285675048828
71,2022-04-14,218.98733520507812
72,2022-04-18,218.15017700195312
73,2022-04-19,217.31719970703125
74,2022-04-20,216.48822021484375
75,2022-04-21,215.6632843017578
76,2022-04-22,214.8423309326172
77,2022-04-25,214.02540588378906
78,2022-04-26,213.21240234375
79,2022-04-27,212.40330505371094
80,2022-04-28,211.59808349609375
81,2022-04-29,210.79669189453125
82,2022-05-02,209.9991455078125
83,2022-05-03,209.2053680419922
84,2022-05-04,208.41539001464844
85,2022-05-05,207.62911987304688
86,2022-05-06,206.84657287597656
87,2022-05-09,206.0677032470703
88,2022-05-10,205.29248046875
89,2022-05-11,204.52088928222656
90,2022-05-12,203.75289916992188
91,2022-05-13,202.9884490966797
92,2022-05-16,202.22756958007812
93,2022-05-17,201.47019958496094
94,2022-05-18,200.71629333496094
95,2022-05-19,199.96585083007812
96,2022-05-20,199.2188720703125
97,2022-05-23,198.47523498535156
98,2022-05-24,197.7349853515625
99,2022-05-25,196.9980926513672
100,2022-05-26,196.26449584960938
101,2022-05-27,195.5342254638672
102,2022-05-31,194.8072509765625
103,2022-06-01,194.08349609375
104,2022-06-02,193.36293029785156
105,2022-06-03,192.64556884765625
106,2022-06-06,191.93133544921875
107,2022-06-07,191.22032165527344
108,2022-06-08,190.51239013671875
109,2022-06-09,189.80751037597656
110,2022-06-10,189.10569763183594
111,2022-06-13,188.4069366455078
112,2022-06-14,187.71121215820312
113,2022-06-15,187.0184783935547
114,2022-06-16,186.32870483398438
115,2022-06-17,185.641845703125
116,2022-06-21,184.9579315185547
117,2022-06-22,184.2769012451172
118,2022-06-23,183.5987091064453
119,2022-06-24,182.9233856201172
120,2022-06-27,182.25088500976562
121,2022-06-28,181.5811767578125
122,2022-06-29,180.91424560546875
123,2022-06-30,180.2501220703125
124,2022-07-01,179.58865356445312
125,2022-07-05,178.9298858642578
126,2022-07-06,178.2738494873047
127,2022-07-07,177.6204833984375
128,2022-07-08,176.96974182128906
129,2022-07-11,176.32156372070312
130,2022-07-12,175.67601013183594
131,2022-07-13,175.03306579589844
132,2022-07-14,174.39268493652344
133,2022-07-15,173.7548370361328
134,2022-07-18,173.11947631835938
135,2022-07-19,172.486572265625
136,2022-07-20,171.8561553955078
137,2022-07-21,171.22821044921875
138,2022-07-22,170.60267639160156
139,2022-07-25,169.9795379638672
140,2022-07-26,169.3587646484375
141,2022-07-27,168.7404022216797
142,2022-07-28,168.12435913085938
143,2022-07-29,167.51063537597656
144,2022-08-01,166.8992462158203
145,2022-08-02,166.2900848388672
146,2022-08-03,165.6832275390625
147,2022-08-04,165.07861328125
148,2022-08-05,164.4762420654297
149,2022-08-08,163.8760528564453
150,2022-08-09,163.27806091308594
151,2022-08-10,162.68222045898438
152,2022-08-11,162.08856201171875
153,2022-08-12,161.49700927734375
154,2022-08-15,160.90756225585938
155,2022-08-16,160.3202667236328
156,2022-08-17,159.73500061035156
157,2022-08-18,159.1518096923828
158,2022-08-19,158.5706329345703
159,2022-08-22,157.9915313720703
160,2022-08-23,157.4143829345703
161,2022-08-24,156.83926391601562
162,2022-08-25,156.2660675048828
163,2022-08-26,155.69483947753906
