,index,y_fitted
0,2022-01-03,165.8116455078125
1,2022-01-04,165.25433349609375
2,2022-01-05,164.73326110839844
3,2022-01-06,164.26405334472656
4,2022-01-07,163.84483337402344
5,2022-01-10,163.4445037841797
6,2022-01-11,163.05801391601562
7,2022-01-12,162.6845703125
8,2022-01-13,162.3252410888672
9,2022-01-14,161.98101806640625
10,2022-01-18,161.65127563476562
11,2022-01-19,161.3352508544922
12,2022-01-20,161.03204345703125
13,2022-01-21,160.74099731445312
14,2022-01-24,160.4615478515625
15,2022-01-25,160.1931915283203
16,2022-01-26,159.93544006347656
17,2022-01-27,159.6877899169922
18,2022-01-28,159.44981384277344
19,2022-01-31,159.22105407714844
20,2022-02-01,159.0011444091797
21,2022-02-02,158.7896728515625
22,2022-02-03,158.58628845214844
23,2022-02-04,158.390625
24,2022-02-07,158.2023468017578
25,2022-02-08,158.02117919921875
26,2022-02-09,157.84678649902344
27,2022-02-10,157.67889404296875
28,2022-02-11,157.51722717285156
29,2022-02-14,157.36155700683594
30,2022-02-15,157.21163940429688
31,2022-02-16,157.06723022460938
32,2022-02-17,156.92813110351562
33,2022-02-18,156.79409790039062
34,2022-02-22,156.6649169921875
35,2022-02-23,156.54042053222656
36,2022-02-24,156.42039489746094
37,2022-02-25,156.3047332763672
38,2022-02-28,156.19320678710938
39,2022-03-01,156.085693359375
40,2022-03-02,155.9820098876953
41,2022-03-03,155.88201904296875
42,2022-03-04,155.7855682373047
43,2022-03-07,155.6925506591797
44,2022-03-08,155.60281372070312
45,2022-03-09,155.51620483398438
46,2022-03-10,155.43267822265625
47,2022-03-11,155.35208129882812
48,2022-03-14,155.2742919921875
49,2022-03-15,155.19927978515625
50,2022-03-16,155.12686157226562
51,2022-03-17,155.0569305419922
52,2022-03-18,154.98941040039062
53,2022-03-21,154.92425537109375
54,2022-03-22,154.86135864257812
55,2022-03-23,154.80062866210938
56,2022-03-24,154.74197387695312
57,2022-03-25,154.6853485107422
58,2022-03-28,154.63067626953125
59,2022-03-29,154.577880859375
60,2022-03-30,154.5269012451172
61,2022-03-31,154.4776611328125
62,2022-04-01,154.43006896972656
63,2022-04-04,154.38414001464844
64,2022-04-05,154.33978271484375
65,2022-04-06,154.29693603515625
66,2022-04-07,154.25552368164062
67,2022-04-08,154.2155303955078
68,2022-04-11,154.1768798828125
69,2022-04-12,154.1395721435547
70,2022-04-13,154.10350036621094
71,2022-04-14,154.0686798095703
72,2022-04-18,154.0349884033203
73,2022-04-19,154.00244140625
74,2022-04-20,153.97100830078125
75,2022-04-21,153.9406280517578
76,2022-04-22,153.91128540039062
77,2022-04-25,153.88290405273438
78,2022-04-26,153.85548400878906
79,2022-04-27,153.82899475097656
80,2022-04-28,153.8033905029297
81,2022-04-29,153.77865600585938
82,2022-05-02,153.75473022460938
83,2022-05-03,153.73162841796875
84,2022-05-04,153.7092742919922
85,2022-05-05,153.6876678466797
86,2022-05-06,153.6667938232422
87,2022-05-09,153.64659118652344
88,2022-05-10,153.62709045410156
89,2022-05-11,153.60824584960938
90,2022-05-12,153.5900115966797
91,2022-05-13,153.5723876953125
92,2022-05-16,153.55532836914062
93,2022-05-17,153.53884887695312
94,2022-05-18,153.52293395996094
95,2022-05-19,153.50753784179688
96,2022-05-20,153.49264526367188
97,2022-05-23,153.47825622558594
98,2022-05-24,153.46432495117188
99,2022-05-25,153.45086669921875
100,2022-05-26,153.43785095214844
101,2022-05-27,153.42529296875
102,2022-05-31,153.41314697265625
103,2022-06-01,153.40139770507812
104,2022-06-02,153.39002990722656
105,2022-06-03,153.37901306152344
106,2022-06-06,153.36837768554688
107,2022-06-07,153.3581085205078
108,2022-06-08,153.34815979003906
109,2022-06-09,153.3385467529297
110,2022-06-10,153.32923889160156
111,2022-06-13,153.32025146484375
112,2022-06-14,153.3115692138672
113,2022-06-15,153.30316162109375
114,2022-06-16,153.2950439453125
115,2022-06-17,153.28717041015625
116,2022-06-21,153.27957153320312
117,2022-06-22,153.272216796875
118,2022-06-23,153.26513671875
119,2022-06-24,153.2582550048828
120,2022-06-27,153.25161743164062
121,2022-06-28,153.24517822265625
122,2022-06-29,153.2389678955078
123,2022-06-30,153.2329559326172
124,2022-07-01,153.22715759277344
125,2022-07-05,153.22154235839844
126,2022-07-06,153.2161102294922
127,2022-07-07,153.21084594726562
128,2022-07-08,153.20578002929688
129,2022-07-11,153.20086669921875
130,2022-07-12,153.1961212158203
131,2022-07-13,153.1915283203125
132,2022-07-14,153.18707275390625
133,2022-07-15,153.18275451660156
134,2022-07-18,153.17857360839844
135,2022-07-19,153.174560546875
136,2022-07-20,153.1707000732422
137,2022-07-21,153.1669464111328
138,2022-07-22,153.16331481933594
139,2022-07-25,153.15982055664062
140,2022-07-26,153.15643310546875
141,2022-07-27,153.1531524658203
142,2022-07-28,153.14999389648438
143,2022-07-29,153.14691162109375
144,2022-08-01,153.1439208984375
145,2022-08-02,153.1410369873047
146,2022-08-03,153.13827514648438
147,2022-08-04,153.1355743408203
148,2022-08-05,153.13296508789062
149,2022-08-08,153.13046264648438
150,2022-08-09,153.12802124023438
151,2022-08-10,153.12567138671875
152,2022-08-11,153.12338256835938
153,2022-08-12,153.12118530273438
154,2022-08-15,153.11904907226562
155,2022-08-16,153.1169891357422
156,2022-08-17,153.114990234375
157,2022-08-18,153.1130828857422
158,2022-08-19,153.11122131347656
159,2022-08-22,153.1094207763672
160,2022-08-23,153.10768127441406
161,2022-08-24,153.10598754882812
162,2022-08-25,153.10435485839844
163,2022-08-26,153.10276794433594
