,index,y_fitted
0,2022-01-03,334.31640625
1,2022-01-04,336.7718811035156
2,2022-01-05,339.0380859375
3,2022-01-06,341.23052978515625
4,2022-01-07,343.3841247558594
5,2022-01-10,345.6050109863281
6,2022-01-11,347.8583984375
7,2022-01-12,350.12921142578125
8,2022-01-13,352.4163818359375
9,2022-01-14,354.72021484375
10,2022-01-18,357.04351806640625
11,2022-01-19,359.38690185546875
12,2022-01-20,361.7502746582031
13,2022-01-21,364.13372802734375
14,2022-01-24,366.53741455078125
15,2022-01-25,368.9617919921875
16,2022-01-26,371.406982421875
17,2022-01-27,373.8734130859375
18,2022-01-28,376.36126708984375
19,2022-01-31,378.87091064453125
20,2022-02-01,381.402587890625
21,2022-02-02,383.9566345214844
22,2022-02-03,386.5332946777344
23,2022-02-04,389.1329650878906
24,2022-02-07,391.75592041015625
25,2022-02-08,394.4024963378906
26,2022-02-09,397.07293701171875
27,2022-02-10,399.767822265625
28,2022-02-11,402.48724365234375
29,2022-02-14,405.2319030761719
30,2022-02-15,408.0023498535156
31,2022-02-16,410.7988586425781
32,2022-02-17,413.6217956542969
33,2022-02-18,416.47161865234375
34,2022-02-22,419.34869384765625
35,2022-02-23,422.25335693359375
36,2022-02-24,425.18609619140625
37,2022-02-25,428.1473083496094
38,2022-02-28,431.1374206542969
39,2022-03-01,434.1570129394531
40,2022-03-02,437.2063293457031
41,2022-03-03,440.2860107421875
42,2022-03-04,443.396484375
43,2022-03-07,446.5382080078125
44,2022-03-08,449.7117004394531
45,2022-03-09,452.9174499511719
46,2022-03-10,456.1560363769531
47,2022-03-11,459.427978515625
48,2022-03-14,462.7337951660156
49,2022-03-15,466.07403564453125
50,2022-03-16,469.44921875
51,2022-03-17,472.8600158691406
52,2022-03-18,476.3070373535156
53,2022-03-21,479.790771484375
54,2022-03-22,483.31195068359375
55,2022-03-23,486.87109375
56,2022-03-24,490.4689025878906
57,2022-03-25,494.1060791015625
58,2022-03-28,497.783203125
59,2022-03-29,501.50103759765625
60,2022-03-30,505.2602844238281
61,2022-03-31,509.0616455078125
62,2022-04-01,512.9058227539062
63,2022-04-04,516.7935791015625
64,2022-04-05,520.7256469726562
65,2022-04-06,524.702880859375
66,2022-04-07,528.7261962890625
67,2022-04-08,532.7962036132812
68,2022-04-11,536.9137573242188
69,2022-04-12,541.0797119140625
70,2022-04-13,545.2949829101562
71,2022-04-14,549.5603637695312
72,2022-04-18,553.876953125
73,2022-04-19,558.2455444335938
74,2022-04-20,562.6671142578125
75,2022-04-21,567.1426391601562
76,2022-04-22,571.6730346679688
77,2022-04-25,576.2593383789062
78,2022-04-26,580.9025268554688
79,2022-04-27,585.6036376953125
80,2022-04-28,590.36376953125
81,2022-04-29,595.1840209960938
82,2022-05-02,600.0653686523438
83,2022-05-03,605.0090942382812
84,2022-05-04,610.01611328125
85,2022-05-05,615.0877685546875
86,2022-05-06,620.2251586914062
87,2022-05-09,625.4295043945312
88,2022-05-10,630.7019653320312
89,2022-05-11,636.0437622070312
90,2022-05-12,641.4561157226562
91,2022-05-13,646.9403686523438
92,2022-05-16,652.4977416992188
93,2022-05-17,658.129638671875
94,2022-05-18,663.8372192382812
95,2022-05-19,669.6219482421875
96,2022-05-20,675.485107421875
97,2022-05-23,681.427978515625
98,2022-05-24,687.4522705078125
99,2022-05-25,693.5590209960938
100,2022-05-26,699.7496948242188
101,2022-05-27,706.0259399414062
102,2022-05-31,712.3890991210938
103,2022-06-01,718.8407592773438
104,2022-06-02,725.382080078125
105,2022-06-03,732.0147094726562
106,2022-06-06,738.7402954101562
107,2022-06-07,745.56005859375
108,2022-06-08,752.4758911132812
109,2022-06-09,759.4889526367188
110,2022-06-10,766.6011352539062
111,2022-06-13,773.8137817382812
112,2022-06-14,781.1286010742188
113,2022-06-15,788.5469360351562
114,2022-06-16,796.0706176757812
115,2022-06-17,803.7012939453125
116,2022-06-21,811.4406127929688
117,2022-06-22,819.2899169921875
118,2022-06-23,827.2510375976562
119,2022-06-24,835.3258666992188
120,2022-06-27,843.5157470703125
121,2022-06-28,851.8225708007812
122,2022-06-29,860.2477416992188
123,2022-06-30,868.7931518554688
124,2022-07-01,877.4605712890625
125,2022-07-05,886.2518310546875
126,2022-07-06,895.1682739257812
127,2022-07-07,904.2120361328125
128,2022-07-08,913.3847045898438
129,2022-07-11,922.688232421875
130,2022-07-12,932.1242065429688
131,2022-07-13,941.6947631835938
132,2022-07-14,951.4014892578125
133,2022-07-15,961.24609375
134,2022-07-18,971.2308349609375
135,2022-07-19,981.357421875
136,2022-07-20,991.6276245117188
137,2022-07-21,1002.0433959960938
138,2022-07-22,1012.6068725585938
139,2022-07-25,1023.3198852539062
140,2022-07-26,1034.1845703125
141,2022-07-27,1045.2027587890625
142,2022-07-28,1056.376708984375
143,2022-07-29,1067.7081298828125
144,2022-08-01,1079.19921875
145,2022-08-02,1090.8524169921875
146,2022-08-03,1102.6695556640625
147,2022-08-04,1114.6527099609375
148,2022-08-05,1126.8043212890625
149,2022-08-08,1139.1265869140625
150,2022-08-09,1151.6217041015625
151,2022-08-10,1164.2918701171875
152,2022-08-11,1177.1392822265625
153,2022-08-12,1190.1666259765625
154,2022-08-15,1203.3760986328125
155,2022-08-16,1216.77001953125
156,2022-08-17,1230.3509521484375
157,2022-08-18,1244.121337890625
158,2022-08-19,1258.0838623046875
159,2022-08-22,1272.24072265625
160,2022-08-23,1286.594970703125
161,2022-08-24,1301.148681640625
162,2022-08-25,1315.9046630859375
163,2022-08-26,1330.8658447265625
164,2022-08-29,1346.0347900390625
