date,title,publisher
2019-01-08 08:00:00+00:00,Microsoft is helping America's largest grocery chain fight off Amazon - The Verge,"{'href': 'https://www.theverge.com', 'title': 'The Verge'}"
2019-01-07 08:00:00+00:00,Microsoft and Kroger to create data-driven connected grocery stores - VentureBeat,"{'href': 'https://venturebeat.com', 'title': 'VentureBeat'}"
2019-01-07 08:00:00+00:00,Kroger and Microsoft partner up to take on Amazon - CNN,"{'href': 'https://www.cnn.com', 'title': 'CNN'}"
2019-01-14 08:00:00+00:00,Microsoft ends Windows 7 support one year from today - BetaNews,"{'href': 'https://betanews.com', 'title': 'BetaNews'}"
2019-01-14 08:00:00+00:00,Goodbye old friend: Microsoft to end support for Windows 7 in one ... - TNW,"{'href': 'https://thenextweb.com', 'title': 'TNW'}"
2019-01-14 08:00:00+00:00,"Beware, Windows 7 hold-outs: Microsoft starts one-year clock to end ... - GeekWire","{'href': 'https://www.geekwire.com', 'title': 'GeekWire'}"
2019-01-04 08:00:00+00:00,Microsoft to silence Cortana during Windows 10 setup - The Verge,"{'href': 'https://www.theverge.com', 'title': 'The Verge'}"
2019-01-07 08:00:00+00:00,Amazon is the most valuable public company in the world after passing Microsoft - CNBC,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2019-01-08 08:00:00+00:00,Microsoft begins demolishing buildings in Redmond campus remodel - CNBC,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2019-01-08 08:00:00+00:00,Microsoft January 2019 Patch Tuesday Includes 51 Security Updates - BleepingComputer,"{'href': 'https://www.bleepingcomputer.com', 'title': 'BleepingComputer'}"
2019-01-09 08:00:00+00:00,Microsoft upgrades Teams mobile app to woo frontline workers - Computerworld,"{'href': 'https://www.computerworld.com', 'title': 'Computerworld'}"
2019-01-10 08:00:00+00:00,"Microsoft Bing not only shows child sexual abuse, it suggests it - TechCrunch","{'href': 'https://techcrunch.com', 'title': 'TechCrunch'}"
2019-01-02 08:00:00+00:00,Microsoft Surface Laptop 2 review: A once-great laptop now is ... - PCWorld,"{'href': 'https://www.pcworld.com', 'title': 'PCWorld'}"
2019-01-03 08:00:00+00:00,Microsoft Patents Silent Voice Command Input Method - BleepingComputer,"{'href': 'https://www.bleepingcomputer.com', 'title': 'BleepingComputer'}"
2019-01-07 08:00:00+00:00,Kroger hopes Redmond QFC pilot with Microsoft will make it ‘retailer of the future’ - The Seattle Times,"{'href': 'https://www.seattletimes.com', 'title': 'The Seattle Times'}"
2019-01-11 08:00:00+00:00,Microsoft spotlights efforts to help retailers modernize and compete ... - GeekWire,"{'href': 'https://www.geekwire.com', 'title': 'GeekWire'}"
2019-01-09 08:00:00+00:00,Xbox Game Pass Quests Give You Money For Earning Achievements - Kotaku,"{'href': 'https://kotaku.com', 'title': 'Kotaku'}"
2019-01-13 08:00:00+00:00,Microsoft Releases KB4487345 Update to Fix Windows 7 Share ... - BleepingComputer,"{'href': 'https://www.bleepingcomputer.com', 'title': 'BleepingComputer'}"
2019-01-14 08:00:00+00:00,"Microsoft is killing Windows 7, so you should switch to Netrunner ... - BetaNews","{'href': 'https://betanews.com', 'title': 'BetaNews'}"
2019-01-02 08:00:00+00:00,"Which Company Has The Best Code Quality Between Google, Apple, Microsoft and Amazon? - Forbes","{'href': 'https://www.forbes.com', 'title': 'Forbes'}"
2019-01-13 08:00:00+00:00,Microsoft President Brad Smith predicts the 10 biggest tech issues in 2019 - Business Insider,"{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}"
2019-01-10 08:00:00+00:00,How Microsoft has avoided tough scrutiny over privacy issues - Fast Company,"{'href': 'https://www.fastcompany.com', 'title': 'Fast Company'}"
2019-01-09 08:00:00+00:00,CES 2019: Lenovo’s Yoga A940’s desktop reminds of Microsoft’s Surface Studio - The Indian Express,"{'href': 'https://indianexpress.com', 'title': 'The Indian Express'}"
2019-01-03 08:00:00+00:00,Microsoft Windows 10 finally overtakes decade-old Windows 7 OS - HT Tech,"{'href': 'https://tech.hindustantimes.com', 'title': 'HT Tech'}"
2019-01-08 08:00:00+00:00,Verizon Media and Microsoft expand partnership with global native ... - Verizon,"{'href': 'https://www.verizon.com', 'title': 'Verizon'}"
2019-01-09 08:00:00+00:00,Microsoft made inclusion a part of every employee's review process - Business Insider,"{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}"
2019-01-03 08:00:00+00:00,Python can be now downloaded from Microsoft Store - MSPoweruser,"{'href': 'https://mspoweruser.com', 'title': 'MSPoweruser'}"
2019-01-04 08:00:00+00:00,OneDrive for Mac Gets Files On-Demand - Thurrott.com,"{'href': 'https://www.thurrott.com', 'title': 'Thurrott.com'}"
2019-01-02 08:00:00+00:00,Microsoft announces two new Microsoft 365 security and ... - MSPoweruser,"{'href': 'https://mspoweruser.com', 'title': 'MSPoweruser'}"
2019-01-03 08:00:00+00:00,Do a majority of Google developers use Visual Studio Code ... - GeekWire,"{'href': 'https://www.geekwire.com', 'title': 'GeekWire'}"
2019-01-09 08:00:00+00:00,"Microsoft releases new Windows 10 preview with disk space, Reset ... - VentureBeat","{'href': 'https://venturebeat.com', 'title': 'VentureBeat'}"
2019-01-06 08:00:00+00:00,Does the Surface Laptop 2 have a Kensington lock slot? - Windows Central,"{'href': 'https://www.windowscentral.com', 'title': 'Windows Central'}"
2019-01-11 08:00:00+00:00,Why Microsoft Stock Gained 19% in 2018 - Nasdaq,"{'href': 'https://www.nasdaq.com', 'title': 'Nasdaq'}"
2019-01-07 08:00:00+00:00,Microsoft Asked to Pay Damages to Another User Over Forced Windows 10 Upgrade Breaking Their PC - Wccftech,"{'href': 'https://wccftech.com', 'title': 'Wccftech'}"
2019-01-11 08:00:00+00:00,Why full-Chromium Edge means end times for IE - Computerworld,"{'href': 'https://www.computerworld.com', 'title': 'Computerworld'}"
2019-01-12 08:00:00+00:00,GitHub adds free private repositories - Business Insider,"{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}"
2019-01-12 08:00:00+00:00,"Virtual reality training by companies like Microsoft is saving lives, millions of dollars, and ensuring the future of mixed reality - CNBC","{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
2019-01-10 08:00:00+00:00,Lucidchart Announces New Integration with Microsoft Teams - PR Newswire,"{'href': 'https://www.prnewswire.com', 'title': 'PR Newswire'}"
2019-01-11 08:00:00+00:00,"How the ""big tech"" colossus is splitting - Axios","{'href': 'https://www.axios.com', 'title': 'Axios'}"
2019-01-07 08:00:00+00:00,"Cartoon Network, Microsoft MakeCode and Adafruit team up to ... - Los Angeles Times","{'href': 'https://www.latimes.com', 'title': 'Los Angeles Times'}"
2019-01-07 08:00:00+00:00,Finnish Consumer Disputes Panel finds Microsoft liable for damages ... - MSPoweruser,"{'href': 'https://mspoweruser.com', 'title': 'MSPoweruser'}"
2019-01-11 08:00:00+00:00,Miss Windows Phone? How to get the most out of Microsoft ... - OnMSFT.com,"{'href': 'https://www.onmsft.com', 'title': 'OnMSFT.com'}"
2019-01-03 08:00:00+00:00,Windows into the White House? Situation Room photo stirs debate ... - GeekWire,"{'href': 'https://www.geekwire.com', 'title': 'GeekWire'}"
2019-01-07 08:00:00+00:00,Windows 10 Takes Its Place as Microsoft's 'Forever OS' - Redmondmag.com,"{'href': 'https://redmondmag.com', 'title': 'Redmondmag.com'}"
2019-01-14 08:00:00+00:00,New MD for Microsoft South Africa - TechCentral,"{'href': 'https://techcentral.co.za', 'title': 'TechCentral'}"
2019-01-10 08:00:00+00:00,Hedge fund Tiger Global ended 2018 with a 13.6 percent gain - Reuters,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
2019-01-08 08:00:00+00:00,Microsoft told to Pay €1100 After Forced Windows 10 Upgrade ... - BleepingComputer,"{'href': 'https://www.bleepingcomputer.com', 'title': 'BleepingComputer'}"
2019-01-04 08:00:00+00:00,Microsoft to Silence Cortana During Windows 10 Setup - The Nerd Stash,"{'href': 'https://thenerdstash.com', 'title': 'The Nerd Stash'}"
2019-01-05 08:00:00+00:00,Beyond email: Microsoft time management exec and Satya Nadella ... - GeekWire,"{'href': 'https://www.geekwire.com', 'title': 'GeekWire'}"
